timestamp,location,weather_condition,voltage_phase_a,voltage_phase_b,voltage_phase_c,current_phase_a,current_phase_b,current_phase_c,frequency_hz,power_factor,temperature_celsius,humidity_percent,wind_speed_kmh,ground_resistance_ohm,line_impedance_ohm,harmonic_distortion_percent,load_percentage,fault_type,fault_severity,maintenance_required
2022-01-01 00:09:00,Section_10,Fog,10996.19,11241.46,11125.06,95.977,108.936,92.321,50.028,0.899,16.6,70.9,50.2,233.68,0.611,2.95,87.3,No Fault,None,0
2022-01-01 00:37:00,Section_15,Storm,508.86,601.95,519.27,872.351,1075.121,1105.913,47.843,0.238,34.3,44.0,49.6,1.34,0.662,23.17,48.9,Three Phase Fault (LLL),Critical,1
2022-01-01 00:53:00,Section_3,Clear,10607.32,4572.6,4468.23,108.047,588.868,639.403,49.815,0.485,30.0,22.1,61.5,117.23,2.518,12.13,70.1,Line to Line (LL),Medium,1
2022-01-01 00:54:00,Section_5,Rain,1052.79,12449.96,12139.57,847.998,107.298,115.518,49.425,0.377,33.8,55.8,18.3,8.34,2.203,15.32,54.3,Single Line to Ground (LG),Low,1
2022-01-01 01:01:00,Section_4,Storm,10779.44,10871.81,10947.46,100.823,100.573,99.881,50.033,0.86,44.7,79.9,41.2,164.69,4.511,2.88,30.1,No Fault,None,0
2022-01-01 01:02:00,Section_18,Rain,10750.04,10966.84,11098.93,102.008,104.311,101.436,50.085,0.958,27.4,31.1,69.6,402.85,0.423,0.9,108.8,No Fault,None,0
2022-01-01 01:03:00,Section_15,Rain,10765.85,10929.35,11310.33,99.142,101.548,90.163,50.019,0.863,15.9,50.8,23.8,162.89,2.847,1.77,99.5,No Fault,None,0
2022-01-01 01:13:00,Section_19,Rain,13234.36,1055.15,1046.59,75.82,709.653,627.961,49.95,0.357,37.1,91.0,43.8,2.09,2.951,16.54,26.3,Double Line to Ground (LLG),High,1
2022-01-01 01:21:00,Section_17,Clear,1164.82,13142.97,12496.68,776.853,105.633,102.086,49.659,0.421,13.0,37.0,48.2,3.93,2.014,15.21,21.3,Single Line to Ground (LG),Low,1
2022-01-01 01:29:00,Section_10,Rain,1259.27,11987.23,12706.48,741.123,107.067,88.531,49.766,0.595,30.4,51.9,77.0,9.71,2.176,15.87,41.6,Single Line to Ground (LG),Low,1
2022-01-01 01:29:00,Section_13,Rain,10954.8,10940.44,10693.3,102.172,94.095,107.731,50.015,0.931,-1.8,25.1,56.1,322.62,3.863,2.71,59.0,No Fault,None,0
2022-01-01 01:30:00,Section_19,Rain,14789.63,13639.88,13860.94,0.474,0.306,1.935,49.831,0.157,11.7,72.2,20.9,1197.68,0.107,15.68,45.9,Open Circuit,Low,1
2022-01-01 01:36:00,Section_13,Clear,13163.29,1086.59,1017.53,76.301,638.702,751.826,49.913,0.519,38.3,81.7,15.4,0.53,0.628,14.79,97.1,Double Line to Ground (LLG),High,1
2022-01-01 01:37:00,Section_3,Rain,11336.01,11040.17,10965.16,98.69,105.856,97.841,50.135,0.859,41.4,51.3,6.6,385.08,1.22,0.88,97.6,No Fault,None,0
